SILO_1_Ash%,SILO_3_Ash%,SILO_4_Ash%,SILO_5_Ash%,SILO_1_CSN,SILO_3_CSN,SILO_4_CSN,SILO_5_CSN,SILO_1_F.C.%,SILO_3_F.C.%,SILO_4_F.C.%,SILO_5_F.C.%,SILO_1_GM%,SILO_3_GM%,SILO_4_GM%,SILO_5_GM%,SILO_1_I.M.%,SILO_3_I.M.%,SILO_4_I.M.%,SILO_5_I.M.%,SILO_1_V.M.%,SILO_3_V.M.%,SILO_4_V.M.%,SILO_5_V.M.%,SILO_2_Ash%,SILO_2_CSN,SILO_2_F.C.%,SILO_2_GM%,SILO_2_I.M.%,SILO_2_V.M.%,SILO_1_DISCHARGE,SILO_2_DISCHARGE,SILO_3_DISCHARGE,SILO_4_DISCHARGE,SILO_5_DISCHARGE,BLEND_GM%,BLEND_Ash%,BLEND_I.M.%,BLEND_V.M.%,BLEND_F.C.%,BLEND_CSN
9.27,9.63,10.2,8.97,8.5,8.0,8.5,1.0,66.25,56.72000000000001,64.66,72.13,9.21,9.31,12.44,10.2,0.68,1.35,0.74,1.2,23.8,32.3,24.4,17.7,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,24.0,22.0,22.0,9.34,9.46,1.0,24.5,65.03999999999999,5.5
7.65,8.33,10.4,9.66,8.0,8.0,9.0,1.0,69.04999999999998,57.17000000000001,65.33999999999999,71.14,8.938244853737812,9.04645476772616,10.11040092969204,9.859154929577464,0.7,1.1,0.56,1.7,22.6,33.4,23.7,17.5,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,24.0,22.0,22.0,8.59,9.31,0.92,24.1,65.66999999999999,5.0
7.81,7.73,10.54,9.46,8.0,7.0,8.5,1.0,68.77,57.38,65.11000000000001,71.00999999999999,10.35,9.14,10.3,11.03,0.86,1.0,0.92,1.11,22.56,33.89,23.43,18.42,0.0,0.0,0.0,0.0,0.0,0.0,34.1,0.0,24.0,22.0,20.0,9.49,9.15,0.93,24.25,65.66999999999999,5.0
8.73,8.08,10.78,9.2,8.0,7.5,8.5,1.0,67.25,57.540000000000006,64.66,71.04,10.218140068886337,9.386617100371748,9.761634506242906,11.692307692307692,0.92,0.88,0.96,1.02,23.1,33.5,23.6,18.74,0.0,0.0,0.0,0.0,0.0,0.0,34.1,0.0,24.0,22.0,20.0,9.43,9.3,0.82,24.2,65.68,5.0
7.692307692307726,7.735792918774291,9.945191828599912,8.700407676245437,8.5,7.5,9.0,1.0,68.3876923076926,56.61420708122566,64.63480817139964,71.79959232375457,9.33,8.95,8.91,10.14,0.69,0.81,0.79,1.03,23.22999999999968,34.840000000000046,24.630000000000443,18.47,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,24.0,27.1,20.0,9.28,9.26,0.86,24.5,65.38,4.5
8.1,8.5,10.3,9.12,8.5,7.0,8.5,1.0,68.66,56.60000000000001,64.96000000000001,71.18,9.22,8.24,8.86,11.07,0.64,1.1,0.74,1.1,22.6,33.8,24.0,18.6,0.0,0.0,0.0,0.0,0.0,0.0,28.9,0.0,24.0,27.1,20.0,8.91,9.12,0.92,24.9,65.06,5.0
8.7,7.64,10.4,9.18,8.5,8.0,8.5,1.0,69.00999999999999,57.540000000000006,65.07,72.13,10.03,7.72,9.52,12.24,0.39,0.82,0.53,1.09,21.9,34.0,24.0,17.6,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,24.0,22.0,22.0,9.65,9.1,0.84,24.5,65.56,4.5
8.38,8.39,10.6,8.94,8.5,8.0,9.0,1.0,67.56,57.1,64.45,70.91999999999999,7.366589327146171,7.731520815632965,9.45692883895131,9.955257270693512,0.66,1.01,0.65,1.04,23.4,33.5,24.3,19.1,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,25.0,22.0,22.0,8.63849765258216,9.23,0.85,24.8,65.12,5.0
8.92,8.02,10.2,9.47,8.5,7.0,9.0,1.0,67.30000000000001,57.24000000000001,65.34,71.03999999999999,9.33,9.15,6.24,10.55,0.88,0.96,0.66,0.79,22.9,33.78,23.8,18.7,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,25.0,22.0,21.9,8.4,8.98,0.79,24.6,65.63,5.0
7.61,8.55,11.9,9.64,8.5,8.0,8.5,1.0,69.21000000000001,56.96,62.24999999999999,68.02,10.950503723171266,10.173160173160174,12.666439057698872,12.145041502839668,0.28,0.39,0.45,1.04,22.9,34.1,25.4,21.3,0.0,0.0,0.0,0.0,0.0,0.0,35.77730090605627,0.0,22.609680495946588,21.47214274360197,20.14087585439517,10.722503451449608,9.5,0.62,25.0,64.88,6.0
9.37,7.8,11.0,8.52,7.0,7.5,8.5,1.0,68.3,58.48,63.48,68.55,8.91,9.62,12.04,11.98,0.33,0.52,0.42,0.73,22.0,33.2,25.1,22.2,0.0,0.0,0.0,0.0,0.0,0.0,35.65091092797827,0.0,22.85581972993169,21.28866576152737,20.204603580562654,10.13,9.56,0.79,24.8,64.85,5.0
8.09,7.42,10.6,8.56,7.5,8.0,8.5,1.0,69.25999999999999,58.21,63.940000000000005,67.25,10.44,9.875,12.273476112026358,12.329390354868062,0.25,0.47,0.36,1.19,22.4,33.9,25.1,23.0,0.0,0.0,0.0,0.0,0.0,0.0,35.8000387897595,0.0,20.72924747866563,23.216640806827,20.254072924747867,10.62,9.28,0.71,24.9,65.11000000000001,5.5
10.4,8.24,10.2,8.78,8.0,8.0,8.5,1.0,67.49000000000001,57.98,64.47,68.37,9.571428571428571,9.92411467116356,11.536805854498493,12.151002752654346,0.21,0.28,0.33,0.45,21.9,33.5,25.0,22.4,0.0,0.0,0.0,0.0,0.0,0.0,35.9344953786986,0.0,20.870293406116247,22.79428488720716,20.400926327978,9.24,9.79,0.51,24.6,65.1,5.0
7.96,8.46,10.78,8.86,8.0,8.5,9.0,1.0,68.28,57.85999999999999,64.1,68.86000000000001,9.23,9.09,10.0,11.96,0.36,0.48,0.52,0.96,23.4,33.2,24.6,21.32,0.0,0.0,0.0,0.0,0.0,0.0,35.81668863428977,0.0,20.90337625468924,22.951434654770352,20.328500456250637,9.97,9.41,0.59,24.96,65.03999999999999,5.5
